year,month,2-gram,count
2023,11,editorial stance,41
2024,03,editorial stance,26
2023,12,editorial stance,24
2023,10,editorial stance,23
2021,05,editorial stance,22
2024,02,editorial stance,21
2023,11,and YouTube,15
2024,03,Gaza here,15
2023,10,and YouTube,13
2024,04,Gaza here,13
2024,01,editorial stance,13
2024,01,and YouTube,12
2023,10,he said,11
2024,04,editorial stance,11
2023,12,page here,9
2023,10,along here,9
2023,11,he said,8
2023,11,updates here,8
2021,06,editorial stance,8
2023,10,coverage here,7
2023,10,now closed,7
2024,02,and YouTube,7
2024,03,and YouTube,7
2023,10,and Facebook,7
2023,12,1 200,7
2024,04,the war,6
2023,11,Israeli officials,6
2023,12,Al Jazeera,6
2023,11,page here,6
2024,03,updates here,5
2024,04,he said,5
2023,12,and YouTube,5
2022,12,editorial stance,4
2024,02,he said,4
2023,06,editorial stance,4
2022,05,Twitter arwaib,4
2024,04,updates here,4
2023,11,in Gaza,4
2021,05,go here,4
2023,07,editorial stance,4
2023,10,Israeli officials,4
2023,06,1967 War,4
2024,02,Gaza here,4
2022,08,editorial stance,4
2023,11,1 200,4
2021,05,she said,3
2023,12,developments here,3
2023,11,along here,3
2022,09,editorial stance,3
2023,12,he added,3
2023,12,he said,3
2022,05,independent probe,3
2023,10,Al Jazeera,3
2023,11,now closed,3
2023,11,and children,3
2023,11,Al Jazeera,3
2024,02,Al Jazeera,3
2024,04,and YouTube,3
2024,01,Gaza here,3
2023,10,of need,3
2023,10,killed in,3
2023,05,a statement,3
2023,11,with Egab,3
2024,02,in Israel,3
2023,11,Israeli authorities,3
2024,03,October 7,3
2023,10,to leave,3
2024,03,now closed,3
2021,07,international community,3
2024,02,under rubble,3
2021,08,editorial stance,3
2023,10,Palestinian people,3
2023,10,artificial intelligence,3
2021,12,editorial stance,3
2023,11,Palestinian officials,3
2023,11,mostly civilians,2
2024,03,8 2024,2
2023,10,breaking point,2
2024,02,she said,2
2023,01,international community,2
2024,01,a statement,2
2023,11,Middle East,2
2023,11,Gaza war,2
2024,04,4 2024,2
2023,10,be continued,2
2022,11,Palestinian attacks,2
2024,01,artificial intelligence,2
2024,01,now closed,2
2023,12,of Health,2
2023,11,workers say,2
2023,10,beastly people,2
2023,10,the day,2
2023,01,or charge,2
2023,06,and 13,2
2022,06,Old City,2
2023,07,same period,2
2024,03,told reporters,2
2024,02,Israeli figures,2
2023,01,them civilians,2
2023,11,the war,2
2022,04,impoverished territory,2
2023,11,the rubble,2
2023,12,updates here,2
2024,01,three months,2
2023,10,this year,2
2023,11,raids in,2
2024,03,12 2024,2
2022,09,Bank in,2
2024,02,five civilians,2
2023,11,humanitarian crisis,2
2024,03,he said,2
2023,12,October 7,2
2022,12,against Palestinians,2
2023,12,for Israel,2
2023,10,potential retribution,2
2024,01,he said,2
2023,12,Palestinian people,2
2024,01,he told,2
2022,12,and Facebook,2
2023,07,and Facebook,2
2022,08,to it,2
2023,11,increasingly dire,2
2024,02,with Israel,2
2021,08,50 percent,2
2023,11,in ruins,2
2024,01,without punishment,2
2023,10,10 2023,2
2023,10,16 2023,2
2024,03,21 2024,2
2024,01,entire year,2
2022,01,future state,2
2022,04,eternal capital,2
2022,04,editorial stance,2
2023,07,he said,2
2021,05,East conflict,2
2023,10,since Saturday,2
2023,12,of war,2
2024,01,deaths in,2
2024,02,7 2024,2
2023,10,she said,2
2024,01,diplomacy diplomacy,2
2023,10,24 2023,2
2023,12,Israeli authorities,2
2021,06,second time,2
2021,08,the conflict,2
2023,01,Israeli history,2
2023,12,1 150,2
2024,03,refugee camp,2
2023,11,governed enclave,2
2024,04,8 2024,2
2023,10,our lives,2
2023,10,others injured,2
2023,10,and Gaza,2
2024,02,and children,2
2023,10,into the,2
2023,10,Palestinian enclave,2
2023,12,them civilians,2
2022,05,her killing,2
2024,04,the country,2
2023,11,13 2023,2
2023,12,25 2023,2
2024,01,since October,2
2023,11,war here,2
2023,12,are attacked,2
2023,11,war started,2
2024,03,Hessen Schei,2
2023,11,Chatham House,2
2023,10,Palestinian officials,2
2023,11,artificial intelligence,2
2022,05,editorial stance,2
2024,01,still held,2
2023,03,Palestinian attacks,2
2022,05,by the,2
2023,12,and Israel,2
2023,11,7 2023,2
2023,08,independent state,2
2024,01,26 2024,2
2023,05,and Facebook,2
2023,10,October 7,2
2024,01,25 2024,2
2023,10,it said,2
2023,03,more insecurity,2
2024,01,4 2024,2
2023,11,with Hamas,2
2024,02,international law,2
2023,11,27 2023,2
2021,05,click here,2
2023,11,25 2023,2
2023,11,24 2023,2
2023,11,23 2023,2
2023,08,editorial stance,2
2024,02,now closed,2
2024,04,of Health,2
2022,06,and Facebook,2
2023,10,Palestinian state,2
2023,10,health ministry,2
2024,02,he added,2
2023,11,a ceasefire,2
2023,02,and Facebook,2
2024,02,page here,2
2023,10,Gaza war,2
2023,12,the rubble,2
2023,10,to it,2
2024,01,1 139,2
2021,05,Al Jazeera,2
2023,02,a decade,2
2024,03,Al Jazeera,2
2023,11,breaking point,2
2023,04,editorial stance,2
2023,11,them children,2
2023,05,war crimes,2
2023,11,United Nations,2
2024,04,October 7,2
2023,08,same period,2
2023,05,same period,2
2023,11,been displaced,2
2021,05,and again,2
2023,11,of London,2
2023,11,Palestinian Authority,2
2023,10,like this,2
2024,04,of famine,2
2023,10,Israeli authorities,2
2023,03,this year,2
2024,02,in Gaza,2
2022,05,and Facebook,2
2024,01,14 2024,2
2023,10,and security,2
2021,05,a crime,2
2022,09,in 2022,2
2023,07,war crime,2
2023,10,are children,2
2023,12,Palestinians said,1
2023,12,Palestinian rights,1
2023,12,and Journalist,1
2023,12,and Knowledge,1
2023,12,Protect Journalists,1
2023,12,aggression he,1
2023,12,Protest Journalists,1
2023,12,and East,1
2023,12,affects US,1
2023,12,against it,1
2023,12,across the,1
2023,12,against religious,1
2023,12,a truce,1
2023,12,against them,1
2023,12,1 2023,1
2023,12,a statement,1
2023,12,a graveyard,1
2023,12,agency OCHA,1
2023,12,a Hamas,1
2023,12,agency estimates,1
2023,12,Zein Basravi,1
2023,12,Zambia previously,1
2023,12,Zahra 33,1
2023,12,agency on,1
2023,12,YTN reported,1
2023,12,Utrecht University,1
2023,12,Ubai close,1
2023,12,agency reported,1
2023,12,UN estimates,1
2023,12,against humanity,1
2023,12,10 1948,1
2023,12,all the,1
2023,12,along here,1
2023,12,Strip on,1
2023,12,am afraid,1
2023,12,Saudi Arabia,1
2023,12,Quality Authority,1
2023,12,18 2023,1
2023,12,Gaza Strip,1
2023,12,Palestinian officials,1
2023,12,Palestinian communities,1
2023,12,4 2023,1
2023,12,5 2023,1
2023,12,6 2023,1
2023,12,7 2023,1
2023,12,7 attacks,1
2023,12,8 2023,1
2023,12,9 2023,1
2023,12,Abu Amra,1
2023,12,African Studies,1
2023,12,Arab world,1
2023,12,Arraf said,1
2023,12,Bank while,1
2023,12,British students,1
2023,12,Brown said,1
2023,12,Committee harvardpsc,1
2023,12,Correspondent Euronews,1
2023,12,Criminal Court,1
2023,12,Daniel Hagari,1
2023,12,David_Cameron December,1
2023,12,388 children,1
2023,12,30 2023,1
2023,12,3 2023,1
2023,12,23 2023,1
2023,12,19 2023,1
2023,12,1967 2007,1
2023,12,20 2023,1
2023,12,200 women,1
2023,12,2022 the,1
2023,12,21 2023,1
2023,12,22 2023,1
2023,12,17 2023,1
2023,12,24 2023,1
2023,12,28 2023,1
2023,12,24 hours,1
2023,12,16 2023,1
2023,12,15 2023,1
2023,12,14 2023,1
2023,12,240 captives,1
2023,12,13 2023,1
2023,12,26 2023,1
2023,12,27 2023,1
2023,12,Dawaymeh he,1
2023,12,DeafMango December,1
2023,12,December 12,1
2023,12,Makan 33,1
2023,12,11 2023,1
2023,12,Israeli officials,1
2023,12,Israeli prisons,1
2023,12,Khalifa University,1
2023,12,Leah Whitson,1
2023,12,Lebanese state,1
2023,12,Lebanon he,1
2023,12,Mahmoud Basal,1
2023,12,Mariam Shahin,1
2023,12,Israeli attacks,1
2023,12,100 metres,1
2023,12,Milwaukee Wisconsin,1
2023,12,Ministry said,1
2023,12,New Hampshire,1
2023,12,North Africa,1
2023,12,Palestine activists,1
2023,12,Palestine in,1
2023,12,Palestinian authorities,1
2023,12,Israeli custody,1
2023,12,Israel jails,1
2023,12,December 6,1
2023,12,Friday on,1
2023,12,Director Mondoweiss,1
2023,12,12 2023,1
2023,12,Discrimination Committee,1
2023,12,Djibouti on,1
2023,12,and Sinwar,1
2023,12,European countries,1
2023,12,EylonALevy December,1
2023,12,FranceskAlbs December,1
2023,12,Gallup said,1
2023,12,International Peace,1
2023,12,Gaza Telhami,1
2023,12,Gaza hospitals,1
2023,12,Gaza war,1
2023,12,Graduate Studies,1
2023,12,Gunness told,1
2023,12,Health says,1
2023,12,Humanitarian Affairs,1
2023,12,ISIL ISIS,1
2023,12,Donald Cameron,1
2017,06,20 06,1
2023,12,and Spain,1
2023,12,recent history,1
2023,12,other she,1
2023,12,our suffering,1
2023,12,out raids,1
2023,12,overcrowded south,1
2023,12,past month,1
2023,12,patrol the,1
2023,12,people injured,1
2023,12,powerful members,1
2023,12,prospects for,1
2023,12,protect identity,1
2023,12,rebuild it,1
2023,12,recent years,1
2023,12,said Stratford,1
2023,12,refugees UNRWA,1
2023,12,regional actors,1
2023,12,regional conflict,1
2023,12,release of,1
2023,12,relentless bombardments,1
2023,12,responsibility to,1
2023,12,resumed since,1
2023,12,rights activist,1
2023,12,s attack,1
2023,12,s daughter,1
2023,12,s heads,1
2023,12,opponents he,1
2023,12,one party,1
2023,12,once again,1
2023,12,on anyone,1
2023,12,million people,1
2023,12,months in,1
2023,12,more time,1
2023,12,near collapse,1
2023,12,neutral ships,1
2023,12,news conference,1
2023,12,northern Gaza,1
2023,12,not afraid,1
2023,12,not happen,1
2023,12,not sustainable,1
2023,12,now he,1
2023,12,obligations to,1
2023,12,of Buckingham,1
2023,12,of Egypt,1
2023,12,of Gaza,1
2023,12,of Jerusalem,1
2023,12,of coffee,1
2023,12,of love,1
2023,12,of medicine,1
2023,12,of starvation,1
2023,12,of that,1
2023,12,officials said,1
2023,12,on Palestine,1
2023,12,safe zones,1
2023,12,said on,1
2023,12,and approvals,1
2023,12,their homes,1
2023,12,the collective,1
2023,12,the issue,1
2023,12,the military,1
2023,12,the proceedings,1
2023,12,the roads,1
2023,12,the sky,1
2023,12,the statement,1
2023,12,the table,1
2023,12,the time,1
2023,12,the wounded,1
2023,12,their culture,1
2023,12,their journey,1
2023,12,same time,1
2023,12,them back,1
2023,12,them through,1
2023,12,they bomb,1
2023,12,this area,1
2023,12,this truth,1
2023,12,this world,1
2023,12,to Gaza,1
2023,12,to Italy,1
2023,12,to account,1
2023,12,to attack,1
2023,12,to continue,1
2023,12,the call,1
2023,12,the UN,1
2023,12,the UK,1
2023,12,the ICC,1
2023,12,say goodbye,1
2023,12,scope of,1
2023,12,seeing now,1
2023,12,settlements in,1
2023,12,settler violence,1
2023,12,several months,1
2023,12,since October,1
2023,12,sought refuge,1
2023,12,southern Israel,1
2023,12,state media,1
2023,12,statehood he,1
2023,12,statement reads,1
2023,12,step in,1
2023,12,strategy in,1
2023,12,survive on,1
2023,12,suspend operations,1
2023,12,t one,1
2023,12,takes place,1
2023,12,talks to,1
2023,12,terrorist organisation,1
2023,12,than theirs,1
2023,12,than worried,1
2023,12,the CPJ,1
2023,12,military on,1
2023,12,military needs,1
2023,12,military courts,1
2023,12,capital Jerusalem,1
2023,12,become uninhabitable,1
2023,12,been detained,1
2023,12,been killed,1
2023,12,been released,1
2023,12,beginning from,1
2023,12,being civilians,1
2023,12,besieged enclave,1
2023,12,besieged territory,1
2023,12,bombing campaign,1
2023,12,by Iran,1
2023,12,by Palestinians,1
2023,12,chase his,1
2023,12,military campaign,1
2023,12,children need,1
2023,12,climate quitters,1
2023,12,conference on,1
2023,12,container traffic,1
2023,12,critical junction,1
2023,12,crossing with,1
2023,12,damage in,1
2023,12,dead civilians,1
2023,12,death toll,1
2023,12,decisions independently,1
2023,12,diplomats said,1
2023,12,beauty he,1
2023,12,be seen,1
2023,12,be killing,1
2023,12,be killed,1
2023,12,and blessing,1
2023,12,and capabilities,1
2023,12,and children,1
2023,12,and clarity,1
2023,12,and families,1
2023,12,and fighters,1
